roll,status,marks,total,percentage,grade,name,source_page
800001,PASS,610,1100,55.45,C,,29
800002,PASS,576,1100,52.36,C,,29
800003,PASS,636,1100,57.82,C,,29
800004,PASS,709,1100,64.45,B,,29
800011,PASS,443,1100,40.27,D,,29
800012,PASS,478,1100,43.45,D,,29
800015,PASS,546,1100,49.64,D,,29
800016,PASS,439,1100,39.91,E,,29
800022,PASS,533,1100,48.45,D,,29
800023,PASS,738,1100,67.09,B,,29
800025,PASS,471,1100,42.82,D,,29
800027,PASS,421,1100,38.27,E,,29
800028,PASS,457,1100,41.55,D,,29
800031,PASS,405,1100,36.82,E,,29
800035,PASS,528,1100,48.0,D,,29
800036,PASS,504,1100,45.82,D,,29
800037,WITHHELD — COMPUTERIZED ENROLMENT CARD,,,,,,124
800038,PASS,466,1100,42.36,D,,29
800040,PASS,518,1100,47.09,D,,29
800042,PASS,502,1100,45.64,D,,29
800043,PASS,443,1100,40.27,D,,29
800044,PASS,865,1100,78.64,A,,29
800045,WITHHELD — COMPUTERIZED ENROLMENT CARD,,,,,,124
800049,PASS,473,1100,43.0,D,,29
800051,PASS,557,1100,50.64,C,,29
800055,PASS,446,1100,40.55,D,,29
800058,PASS,459,1100,41.73,D,,29
800059,PASS,601,1100,54.64,C,,29
800065,PASS,490,1100,44.55,D,,29
800067,PASS,418,1100,38.0,E,,29
800071,PASS,468,1100,42.55,D,,29
800083,WITHHELD — COMPUTERIZED ENROLMENT CARD,,,,,,124
800085,PASS,805,1100,73.18,A,,29
800094,WITHHELD — COMPUTERIZED ENROLMENT CARD,,,,,,124
800130,PASS,566,1100,51.45,C,,30
800132,PASS,459,1100,41.73,D,,30
800133,PASS,614,1100,55.82,C,,30
800135,PASS,611,1100,55.55,C,,30
800136,PASS,894,1100,81.27,A-1,,29
800137,PASS,780,1100,70.91,A,,30
800142,PASS,507,1100,46.09,D,,30
800145,PASS,928,1100,84.36,A-1,,29
800153,PASS,479,1100,43.55,D,,30
800159,PASS,531,1100,48.27,D,,30
800161,PASS,708,1100,64.36,B,,30
800166,PASS,595,1100,54.09,C,,30
800172,PASS,802,1100,72.91,A,,30
800175,PASS,765,1100,69.55,B,,30
800180,PASS,816,1100,74.18,A,,30
800187,PASS,612,1100,55.64,C,,30
800195,PASS,630,1100,57.27,C,,30
800197,PASS,726,1100,66.0,B,,30
800200,PASS,900,1100,81.82,A-1,,29
800209,PASS,618,1100,56.18,C,,30
800220,PASS,794,1100,72.18,A,,30
800234,PASS,557,1100,50.64,C,,30
800236,PASS,586,1100,53.27,C,,30
800237,PASS,555,1100,50.45,C,,30
800240,PASS,880,1100,80.0,A-1,,29
800249,PASS,571,1100,51.91,C,,30
800250,PASS,904,1100,82.18,A-1,,29
800251,PASS,486,1100,44.18,D,,30
800255,PASS,793,1100,72.09,A,,30
800260,PASS,476,1100,43.27,D,,30
800262,PASS,496,1100,45.09,D,,30
800274,PASS,504,1100,45.82,D,,30
800277,PASS,760,1100,69.09,B,,30
800282,PASS,498,1100,45.27,D,,30
800283,PASS,556,1100,50.55,C,,30
800284,PASS,628,1100,57.09,C,,30
800285,PASS,525,1100,47.73,D,,30
800287,PASS,571,1100,51.91,C,,30
800289,PASS,583,1100,53.0,C,,30
800290,PASS,527,1100,47.91,D,,30
800294,PASS,518,1100,47.09,D,,30
800296,PASS,745,1100,67.73,B,,30
800305,PASS,918,1100,83.45,A-1,,29
800307,PASS,493,1100,44.82,D,,30
800315,PASS,535,1100,48.64,D,,30
800318,PASS,603,1100,54.82,C,,30
800324,PASS,629,1100,57.18,C,,30
800325,PASS,523,1100,47.55,D,,30
800331,PASS,668,1100,60.73,B,,30
800332,PASS,541,1100,49.18,D,,30
800336,PASS,553,1100,50.27,C,,30
800346,PASS,490,1100,44.55,D,,30
800351,PASS,569,1100,51.73,C,,30
800356,PASS,681,1100,61.91,B,,30
800357,PASS,496,1100,45.09,D,,30
800358,PASS,565,1100,51.36,C,,30
800359,PASS,629,1100,57.18,C,,30
800365,PASS,551,1100,50.09,C,,30
800366,PASS,572,1100,52.0,C,,30
800367,PASS,648,1100,58.91,C,,30
800369,PASS,488,1100,44.36,D,,30
800371,PASS,531,1100,48.27,D,,30
800372,PASS,460,1100,41.82,D,,30
800374,PASS,484,1100,44.0,D,,30
800375,PASS,541,1100,49.18,D,,30
800377,PASS,637,1100,57.91,C,,30
800378,PASS,672,1100,61.09,B,,30
800388,PASS,469,1100,42.64,D,,30
800392,PASS,684,1100,62.18,B,,30
800393,PASS,607,1100,55.18,C,,30
800405,PASS,455,1100,41.36,D,,30
800406,PASS,710,1100,64.55,B,,30
800409,PASS,483,1100,43.91,D,,30
800410,WITHHELD — VERIFICATION OF ENROLMENT CARD,,,,,,125
800414,WITHHELD — VERIFICATION OF ENROLMENT CARD,,,,,,125
800416,PASS,623,1100,56.64,C,,30
800420,WITHHELD — VERIFICATION OF ENROLMENT CARD,,,,,,125
800423,PASS,722,1100,65.64,B,,30
800425,WITHHELD — COMPUTERIZED ENROLMENT CARD,,,,,,124
800430,PASS,774,1100,70.36,A,,30
800435,PASS,458,1100,41.64,D,,30
800440,PASS,490,1100,44.55,D,,30
800442,PASS,519,1100,47.18,D,,30
800445,WITHHELD — COMPUTERIZED ENROLMENT CARD,,,,,,124
800446,WITHHELD — VERIFICATION OF ENROLMENT CARD,,,,,,125
800448,WITHHELD — COMPUTERIZED ENROLMENT CARD,,,,,,124
800449,WITHHELD — VERIFICATION OF ENROLMENT CARD,,,,,,125
800521,PASS,519,1100,47.18,D,,30
800522,PASS,674,1100,61.27,B,,30
800524,PASS,504,1100,45.82,D,,30
800526,PASS,744,1100,67.64,B,,30
800527,PASS,560,1100,50.91,C,,30
800528,PASS,625,1100,56.82,C,,30
800529,PASS,566,1100,51.45,C,,30
800541,PASS,567,1100,51.55,C,,31
800542,PASS,783,1100,71.18,A,,31
800543,PASS,697,1100,63.36,B,,31
800551,PASS,752,1100,68.36,B,,31
800552,PASS,586,1100,53.27,C,,31
800553,PASS,719,1100,65.36,B,,31
800554,PASS,541,1100,49.18,D,,31
800555,PASS,590,1100,53.64,C,,31
800557,PASS,672,1100,61.09,B,,31
800558,PASS,564,1100,51.27,C,,31
800559,PASS,582,1100,52.91,C,,31
800560,PASS,538,1100,48.91,D,,31
800561,PASS,629,1100,57.18,C,,31
800562,PASS,483,1100,43.91,D,,31
800563,PASS,517,1100,47.0,D,,31
800564,PASS,608,1100,55.27,C,,31
800565,PASS,532,1100,48.36,D,,31
800566,PASS,714,1100,64.91,B,,31
800567,PASS,624,1100,56.73,C,,31
800570,PASS,537,1100,48.82,D,,31
800571,PASS,560,1100,50.91,C,,31
800572,PASS,489,1100,44.45,D,,31
800601,PASS,928,1100,84.36,A-1,,32
800602,PASS,753,1100,68.45,B,,32
800603,PASS,743,1100,67.55,B,,32
800604,PASS,800,1100,72.73,A,,32
800605,PASS,734,1100,66.73,B,,32
800606,PASS,716,1100,65.09,B,,32
800607,PASS,797,1100,72.45,A,,32
800609,PASS,682,1100,62.0,B,,32
800610,PASS,771,1100,70.09,A,,32
800611,PASS,745,1100,67.73,B,,32
800612,PASS,902,1100,82.0,A-1,,32
800613,PASS,913,1100,83.0,A-1,,32
800614,PASS,667,1100,60.64,B,,32
800615,PASS,670,1100,60.91,B,,32
800616,PASS,735,1100,66.82,B,,32
800621,PASS,869,1100,79.0,A,,33
800622,PASS,857,1100,77.91,A,,33
800623,PASS,847,1100,77.0,A,,33
800624,PASS,778,1100,70.73,A,,33
800625,PASS,594,1100,54.0,C,,33
800626,PASS,871,1100,79.18,A,,33
800627,PASS,692,1100,62.91,B,,33
800628,PASS,599,1100,54.45,C,,33
800630,PASS,504,1100,45.82,D,,33
800631,PASS,522,1100,47.45,D,,33
800634,PASS,470,1100,42.73,D,,33
800635,PASS,834,1100,75.82,A,,33
800636,PASS,646,1100,58.73,C,,33
800637,PASS,469,1100,42.64,D,,33
800639,PASS,471,1100,42.82,D,,33
800640,PASS,690,1100,62.73,B,,33
800642,PASS,590,1100,53.64,C,,33
800643,PASS,542,1100,49.27,D,,33
800644,PASS,683,1100,62.09,B,,33
800646,PASS,789,1100,71.73,A,,33
800647,PASS,665,1100,60.45,B,,33
800648,PASS,544,1100,49.45,D,,33
800652,PASS,626,1100,56.91,C,,33
800653,PASS,621,1100,56.45,C,,33
800654,PASS,659,1100,59.91,C,,33
800656,PASS,554,1100,50.36,C,,33
800660,PASS,508,1100,46.18,D,,33
800661,PASS,553,1100,50.27,C,,33
800662,PASS,558,1100,50.73,C,,33
800663,PASS,629,1100,57.18,C,,33
800664,PASS,512,1100,46.55,D,,33
800665,PASS,548,1100,49.82,D,,33
800667,PASS,594,1100,54.0,C,,33
800668,PASS,620,1100,56.36,C,,33
800669,PASS,628,1100,57.09,C,,33
800672,PASS,684,1100,62.18,B,,33
800673,PASS,564,1100,51.27,C,,33
800674,PASS,663,1100,60.27,B,,33
800675,PASS,612,1100,55.64,C,,33
800677,PASS,619,1100,56.27,C,,33
800678,PASS,579,1100,52.64,C,,33
800680,PASS,690,1100,62.73,B,,33
800682,PASS,505,1100,45.91,D,,33
800683,PASS,569,1100,51.73,C,,33
800687,PASS,620,1100,56.36,C,,33
800689,PASS,547,1100,49.73,D,,33
800690,PASS,529,1100,48.09,D,,33
800692,PASS,546,1100,49.64,D,,33
800694,PASS,658,1100,59.82,C,,33
800697,PASS,523,1100,47.55,D,,33
800698,PASS,625,1100,56.82,C,,33
800699,PASS,779,1100,70.82,A,,33
800700,PASS,850,1100,77.27,A,,33
800701,PASS,512,1100,46.55,D,,33
800702,PASS,641,1100,58.27,C,,33
800703,PASS,530,1100,48.18,D,,33
800704,PASS,621,1100,56.45,C,,33
800706,PASS,540,1100,49.09,D,,33
800707,PASS,555,1100,50.45,C,,33
800708,PASS,720,1100,65.45,B,,33
800709,PASS,761,1100,69.18,B,,33
800710,PASS,485,1100,44.09,D,,33
800711,PASS,562,1100,51.09,C,,33
800715,PASS,704,1100,64.0,B,,33
800716,PASS,493,1100,44.82,D,,33
800717,PASS,795,1100,72.27,A,,33
800718,PASS,580,1100,52.73,C,,33
800721,PASS,865,1100,78.64,A,,33
800722,PASS,737,1100,67.0,B,,33
800723,PASS,514,1100,46.73,D,,33
800724,PASS,662,1100,60.18,B,,33
800726,PASS,593,1100,53.91,C,,33
800730,PASS,670,1100,60.91,B,,33
800731,PASS,507,1100,46.09,D,,33
800733,PASS,563,1100,51.18,C,,33
800735,PASS,504,1100,45.82,D,,33
800736,PASS,572,1100,52.0,C,,33
800737,PASS,492,1100,44.73,D,,33
800739,PASS,513,1100,46.64,D,,33
800740,PASS,601,1100,54.64,C,,33
800742,PASS,566,1100,51.45,C,,33
800743,PASS,601,1100,54.64,C,,33
800745,PASS,640,1100,58.18,C,,33
800746,PASS,546,1100,49.64,D,,33
800748,PASS,530,1100,48.18,D,,33
800753,PASS,541,1100,49.18,D,,33
800794,PASS,617,1100,56.09,C,,34
800795,PASS,655,1100,59.55,C,,34
800798,PASS,518,1100,47.09,D,,34
800800,PASS,539,1100,49.0,D,,34
800803,PASS,700,1100,63.64,B,,34
800804,PASS,567,1100,51.55,C,,34
800806,PASS,562,1100,51.09,C,,34
800810,PASS,566,1100,51.45,C,,34
800813,PASS,611,1100,55.55,C,,34
800815,PASS,630,1100,57.27,C,,34
800816,PASS,527,1100,47.91,D,,34
800821,PASS,480,1100,43.64,D,,34
800822,PASS,669,1100,60.82,B,,34
800829,PASS,547,1100,49.73,D,,34
800831,PASS,659,1100,59.91,C,,34
800832,PASS,549,1100,49.91,D,,34
800833,PASS,621,1100,56.45,C,,34
800834,PASS,604,1100,54.91,C,,34
800835,PASS,705,1100,64.09,B,,34
800836,PASS,594,1100,54.0,C,,34
800837,PASS,639,1100,58.09,C,,34
800841,PASS,469,1100,42.64,D,,34
800844,PASS,650,1100,59.09,C,,34
800845,PASS,563,1100,51.18,C,,34
800846,PASS,659,1100,59.91,C,,34
800847,PASS,662,1100,60.18,B,,34
800848,PASS,590,1100,53.64,C,,34
800849,PASS,730,1100,66.36,B,,34
800850,PASS,516,1100,46.91,D,,34
800851,PASS,571,1100,51.91,C,,34
800852,PASS,677,1100,61.55,B,,34
800853,PASS,632,1100,57.45,C,,34
800854,PASS,586,1100,53.27,C,,34
800855,PASS,758,1100,68.91,B,,34
800856,PASS,698,1100,63.45,B,,34
800857,PASS,606,1100,55.09,C,,34
800858,PASS,557,1100,50.64,C,,34
800859,PASS,484,1100,44.0,D,,34
800863,PASS,527,1100,47.91,D,,34
800864,PASS,643,1100,58.45,C,,34
800865,PASS,493,1100,44.82,D,,34
800867,PASS,589,1100,53.55,C,,34
800868,PASS,587,1100,53.36,C,,34
800872,PASS,543,1100,49.36,D,,34
800875,PASS,534,1100,48.55,D,,34
800877,PASS,584,1100,53.09,C,,34
800878,PASS,790,1100,71.82,A,,34
800879,PASS,614,1100,55.82,C,,34
800880,PASS,641,1100,58.27,C,,34
800882,PASS,815,1100,74.09,A,,34
800890,PASS,545,1100,49.55,D,,34
800891,PASS,663,1100,60.27,B,,34
800892,PASS,511,1100,46.45,D,,34
800893,PASS,751,1100,68.27,B,,34
800894,PASS,464,1100,42.18,D,,34
800896,PASS,759,1100,69.0,B,,34
800897,PASS,510,1100,46.36,D,,34
800898,PASS,488,1100,44.36,D,,34
800899,PASS,677,1100,61.55,B,,34
800901,PASS,640,1100,58.18,C,,34
800903,PASS,574,1100,52.18,C,,34
800904,PASS,464,1100,42.18,D,,34
800905,PASS,525,1100,47.73,D,,34
800913,PASS,553,1100,50.27,C,,34
800915,PASS,770,1100,70.0,A,,34
800916,PASS,472,1100,42.91,D,,34
800919,PASS,524,1100,47.64,D,,34
800920,PASS,548,1100,49.82,D,,34
800921,PASS,549,1100,49.91,D,,34
800922,PASS,657,1100,59.73,C,,34
800923,PASS,611,1100,55.55,C,,34
800927,PASS,482,1100,43.82,D,,34
800928,PASS,455,1100,41.36,D,,34
800930,PASS,469,1100,42.64,D,,34
800931,PASS,672,1100,61.09,B,,34
800934,PASS,727,1100,66.09,B,,34
800935,PASS,648,1100,58.91,C,,34
800936,PASS,645,1100,58.64,C,,34
800937,PASS,789,1100,71.73,A,,34
800938,PASS,604,1100,54.91,C,,34
800939,PASS,587,1100,53.36,C,,34
800940,PASS,785,1100,71.36,A,,34
800941,PASS,516,1100,46.91,D,,34
800942,PASS,823,1100,74.82,A,,34
800944,PASS,537,1100,48.82,D,,34
800945,PASS,527,1100,47.91,D,,34
800946,PASS,513,1100,46.64,D,,34
800948,PASS,648,1100,58.91,C,,34
800949,PASS,619,1100,56.27,C,,34
800950,PASS,663,1100,60.27,B,,34
800951,PASS,592,1100,53.82,C,,34
800952,PASS,480,1100,43.64,D,,34
800953,PASS,592,1100,53.82,C,,34
800957,PASS,695,1100,63.18,B,,34
800958,PASS,557,1100,50.64,C,,34
800960,PASS,679,1100,61.73,B,,34
800961,PASS,645,1100,58.64,C,,34
800962,PASS,632,1100,57.45,C,,34
800964,PASS,537,1100,48.82,D,,34
800966,PASS,518,1100,47.09,D,,34
800968,PASS,793,1100,72.09,A,,34
800973,PASS,538,1100,48.91,D,,34
800974,PASS,526,1100,47.82,D,,34
800975,PASS,536,1100,48.73,D,,34
800977,PASS,493,1100,44.82,D,,34
800978,WITHHELD — VERIFICATION OF ENROLMENT CARD,,,,,,125
801021,PASS,530,1100,48.18,D,,35
801023,PASS,694,1100,63.09,B,,34
801024,PASS,674,1100,61.27,B,,34
801025,PASS,656,1100,59.64,C,,34
801026,PASS,508,1100,46.18,D,,35
801027,PASS,757,1100,68.82,B,,34
801028,PASS,581,1100,52.82,C,,35
801029,PASS,614,1100,55.82,C,,35
801030,PASS,866,1100,78.73,A,,34
801031,WITHHELD — COMPUTERIZED ENROLMENT CARD,,,,,,124
801032,PASS,580,1100,52.73,C,,35
801033,PASS,510,1100,46.36,D,,35
801034,PASS,480,1100,43.64,D,,35
801041,PASS,581,1100,52.82,C,,35
801042,PASS,473,1100,43.0,D,,35
801046,PASS,703,1100,63.91,B,,34
801047,PASS,604,1100,54.91,C,,35
801048,PASS,832,1100,75.64,A,,34
801051,PASS,469,1100,42.64,D,,35
801052,PASS,480,1100,43.64,D,,35
801053,PASS,915,1100,83.18,A-1,,34
801055,PASS,908,1100,82.55,A-1,,34
801056,PASS,657,1100,59.73,C,,34
801060,PASS,514,1100,46.73,D,,35
801061,PASS,541,1100,49.18,D,,35
801062,PASS,674,1100,61.27,B,,34
801066,PASS,649,1100,59.0,C,,35
801067,PASS,590,1100,53.64,C,,35
801068,PASS,447,1100,40.64,D,,35
801069,PASS,786,1100,71.45,A,,34
801071,PASS,493,1100,44.82,D,,35
801072,PASS,506,1100,46.0,D,,35
801073,PASS,881,1100,80.09,A-1,,34
801079,PASS,554,1100,50.36,C,,35
801082,PASS,540,1100,49.09,D,,35
801085,PASS,488,1100,44.36,D,,35
801087,PASS,501,1100,45.55,D,,35
801088,PASS,563,1100,51.18,C,,35
801090,PASS,681,1100,61.91,B,,34
801092,PASS,685,1100,62.27,B,,34
801093,PASS,561,1100,51.0,C,,35
801098,PASS,511,1100,46.45,D,,35
801099,PASS,648,1100,58.91,C,,35
801100,PASS,530,1100,48.18,D,,35
801101,PASS,470,1100,42.73,D,,35
801104,PASS,689,1100,62.64,B,,34
801106,PASS,481,1100,43.73,D,,35
801108,PASS,612,1100,55.64,C,,35
801109,PASS,465,1100,42.27,D,,35
801110,PASS,684,1100,62.18,B,,34
801111,PASS,524,1100,47.64,D,,35
801113,PASS,580,1100,52.73,C,,35
801115,PASS,483,1100,43.91,D,,35
801116,PASS,495,1100,45.0,D,,35
801119,PASS,520,1100,47.27,D,,35
801120,PASS,714,1100,64.91,B,,34
801124,PASS,792,1100,72.0,A,,34
801125,PASS,919,1100,83.55,A-1,,34
801126,PASS,596,1100,54.18,C,,35
801127,PASS,674,1100,61.27,B,,34
801128,PASS,806,1100,73.27,A,,34
801132,PASS,531,1100,48.27,D,,35
801133,PASS,542,1100,49.27,D,,35
801137,PASS,651,1100,59.18,C,,35
801138,PASS,594,1100,54.0,C,,35
801139,PASS,513,1100,46.64,D,,35
801140,PASS,527,1100,47.91,D,,35
801141,PASS,662,1100,60.18,B,,34
801142,PASS,919,1100,83.55,A-1,,34
801143,PASS,593,1100,53.91,C,,35
801144,PASS,712,1100,64.73,B,,34
801145,PASS,492,1100,44.73,D,,35
801146,PASS,530,1100,48.18,D,,35
801147,PASS,552,1100,50.18,C,,35
801149,PASS,486,1100,44.18,D,,35
801150,PASS,586,1100,53.27,C,,35
801151,PASS,559,1100,50.82,C,,35
801153,PASS,551,1100,50.09,C,,35
801154,PASS,739,1100,67.18,B,,35
801157,PASS,680,1100,61.82,B,,35
801158,PASS,512,1100,46.55,D,,35
801159,PASS,754,1100,68.55,B,,35
801160,PASS,516,1100,46.91,D,,35
801161,PASS,583,1100,53.0,C,,35
801162,PASS,550,1100,50.0,C,,35
801163,PASS,520,1100,47.27,D,,35
801165,PASS,465,1100,42.27,D,,35
801166,PASS,475,1100,43.18,D,,35
801168,PASS,501,1100,45.55,D,,35
801169,PASS,506,1100,46.0,D,,35
801170,PASS,620,1100,56.36,C,,35
801171,PASS,579,1100,52.64,C,,35
801172,PASS,499,1100,45.36,D,,35
801174,PASS,462,1100,42.0,D,,35
801176,PASS,633,1100,57.55,C,,35
801177,PASS,530,1100,48.18,D,,35
801178,PASS,467,1100,42.45,D,,35
801179,PASS,512,1100,46.55,D,,35
801181,PASS,686,1100,62.36,B,,35
801182,PASS,558,1100,50.73,C,,35
801183,PASS,641,1100,58.27,C,,35
801184,PASS,612,1100,55.64,C,,35
801185,PASS,505,1100,45.91,D,,35
801186,PASS,594,1100,54.0,C,,35
801188,PASS,597,1100,54.27,C,,35
801189,PASS,470,1100,42.73,D,,35
801190,PASS,660,1100,60.0,B,,35
801191,PASS,566,1100,51.45,C,,35
801193,PASS,616,1100,56.0,C,,35
801194,PASS,588,1100,53.45,C,,35
801195,PASS,617,1100,56.09,C,,35
801198,PASS,536,1100,48.73,D,,35
801201,PASS,552,1100,50.18,C,,35
801203,PASS,825,1100,75.0,A,,34
801206,PASS,515,1100,46.82,D,,35
801211,WITHHELD — COMPUTERIZED ENROLMENT CARD,,,,,,124
801213,WITHHELD — VERIFICATION OF ENROLMENT CARD,,,,,,125
801219,PASS,537,1100,48.82,D,,35
801225,PASS,716,1100,65.09,B,,35
801226,PASS,514,1100,46.73,D,,35
801227,PASS,659,1100,59.91,C,,35
801230,PASS,502,1100,45.64,D,,35
801238,WITHHELD — COMPUTERIZED ENROLMENT CARD,,,,,,124
801271,PASS,692,1100,62.91,B,,35
801272,PASS,767,1100,69.73,B,,35
801281,PASS,627,1100,57.0,C,,36
801282,PASS,541,1100,49.18,D,,36
801283,PASS,724,1100,65.82,B,,36
801287,PASS,722,1100,65.64,B,,36
801288,PASS,662,1100,60.18,B,,36
801292,PASS,594,1100,54.0,C,,36
801293,PASS,822,1100,74.73,A,,36
801295,PASS,684,1100,62.18,B,,36
801296,PASS,566,1100,51.45,C,,36
801297,PASS,568,1100,51.64,C,,36
801298,PASS,727,1100,66.09,B,,36
801299,PASS,671,1100,61.0,B,,36
801301,PASS,925,1100,84.09,A-1,,35
801304,PASS,698,1100,63.45,B,,36
801310,PASS,763,1100,69.36,B,,36
801311,PASS,577,1100,52.45,C,,36
801312,PASS,631,1100,57.36,C,,36
801313,PASS,581,1100,52.82,C,,36
801314,PASS,809,1100,73.55,A,,36
801316,PASS,723,1100,65.73,B,,36
801325,PASS,478,1100,43.45,D,,36
801327,PASS,523,1100,47.55,D,,36
801334,PASS,556,1100,50.55,C,,36
801335,PASS,767,1100,69.73,B,,36
801336,PASS,616,1100,56.0,C,,36
801341,PASS,593,1100,53.91,C,,36
801344,PASS,671,1100,61.0,B,,36
801350,PASS,882,1100,80.18,A-1,,35
801351,PASS,718,1100,65.27,B,,36
801352,PASS,691,1100,62.82,B,,36
801355,PASS,614,1100,55.82,C,,36
801361,PASS,539,1100,49.0,D,,36
801362,PASS,584,1100,53.09,C,,36
801363,PASS,889,1100,80.82,A-1,,35
801365,PASS,587,1100,53.36,C,,36
801366,PASS,849,1100,77.18,A,,36
801367,PASS,801,1100,72.82,A,,36
801369,PASS,577,1100,52.45,C,,36
801370,PASS,683,1100,62.09,B,,36
801371,PASS,841,1100,76.45,A,,36
801373,PASS,552,1100,50.18,C,,36
801378,PASS,847,1100,77.0,A,,36
801379,PASS,910,1100,82.73,A-1,,35
801380,PASS,543,1100,49.36,D,,36
801382,PASS,874,1100,79.45,A,,36
801386,PASS,755,1100,68.64,B,,36
801388,PASS,744,1100,67.64,B,,36
801389,PASS,641,1100,58.27,C,,36
801390,PASS,771,1100,70.09,A,,36
801391,PASS,641,1100,58.27,C,,36
801394,PASS,561,1100,51.0,C,,36
801396,PASS,638,1100,58.0,C,,36
801398,PASS,598,1100,54.36,C,,36
801400,PASS,946,1100,86.0,A-1,,35
801402,PASS,813,1100,73.91,A,,36
801403,PASS,530,1100,48.18,D,,36
801405,PASS,686,1100,62.36,B,,36
801406,PASS,623,1100,56.64,C,,36
801407,PASS,646,1100,58.73,C,,36
801409,PASS,505,1100,45.91,D,,36
801410,PASS,497,1100,45.18,D,,36
801411,PASS,714,1100,64.91,B,,36
801412,PASS,706,1100,64.18,B,,36
801413,PASS,853,1100,77.55,A,,36
801414,PASS,905,1100,82.27,A-1,,36
801417,PASS,443,1100,40.27,D,,36
801418,PASS,635,1100,57.73,C,,36
801419,PASS,517,1100,47.0,D,,36
801420,PASS,489,1100,44.45,D,,36
801421,PASS,663,1100,60.27,B,,36
801422,PASS,601,1100,54.64,C,,36
801424,PASS,615,1100,55.91,C,,36
801425,PASS,494,1100,44.91,D,,36
801430,PASS,721,1100,65.55,B,,36
801432,WITHHELD — COMPUTERIZED ENROLMENT CARD,,,,,,124
801434,PASS,660,1100,60.0,B,,36
801436,PASS,838,1100,76.18,A,,36
801437,PASS,742,1100,67.45,B,,36
801438,PASS,516,1100,46.91,D,,36
801444,PASS,948,1100,86.18,A-1,,36
801451,PASS,600,1100,54.55,C,,36
801551,PASS,646,1100,58.73,C,,37
801554,PASS,593,1100,53.91,C,,37
801555,PASS,853,1100,77.55,A,,36
801556,PASS,556,1100,50.55,C,,37
801557,PASS,551,1100,50.09,C,,37
801558,PASS,722,1100,65.64,B,,36
801559,PASS,473,1100,43.0,D,,37
801561,PASS,569,1100,51.73,C,,37
801562,PASS,647,1100,58.82,C,,37
801563,PASS,530,1100,48.18,D,,37
801568,PASS,555,1100,50.45,C,,37
801571,PASS,828,1100,75.27,A,,36
801572,PASS,625,1100,56.82,C,,37
801576,PASS,604,1100,54.91,C,,37
801580,PASS,739,1100,67.18,B,,36
801581,PASS,822,1100,74.73,A,,36
801582,PASS,511,1100,46.45,D,,37
801584,PASS,659,1100,59.91,C,,36
801586,PASS,586,1100,53.27,C,,37
801588,PASS,655,1100,59.55,C,,36
801589,PASS,774,1100,70.36,A,,36
801590,PASS,858,1100,78.0,A,,36
801595,PASS,690,1100,62.73,B,,36
801597,PASS,688,1100,62.55,B,,36
801598,PASS,497,1100,45.18,D,,37
801602,PASS,599,1100,54.45,C,,37
801603,PASS,856,1100,77.82,A,,36
801604,PASS,666,1100,60.55,B,,36
801607,PASS,612,1100,55.64,C,,37
801608,PASS,571,1100,51.91,C,,37
801612,PASS,601,1100,54.64,C,,37
801613,PASS,776,1100,70.55,A,,36
801617,PASS,765,1100,69.55,B,,36
801619,PASS,548,1100,49.82,D,,37
801620,PASS,775,1100,70.45,A,,36
801621,PASS,642,1100,58.36,C,,37
801622,PASS,584,1100,53.09,C,,37
801623,PASS,611,1100,55.55,C,,37
801624,PASS,479,1100,43.55,D,,37
801627,PASS,749,1100,68.09,B,,36
801691,PASS,881,1100,80.09,A-1,,37
801692,PASS,966,1100,87.82,A-1,,37
801693,PASS,866,1100,78.73,A,,37
801694,PASS,808,1100,73.45,A,,37
801695,PASS,642,1100,58.36,C,,37
801696,PASS,942,1100,85.64,A-1,,37
801697,PASS,611,1100,55.55,C,,37
801698,PASS,695,1100,63.18,B,,37
801699,PASS,773,1100,70.27,A,,37
801700,PASS,930,1100,84.55,A-1,,37
801701,PASS,791,1100,71.91,A,,37
801702,PASS,874,1100,79.45,A,,37
801703,PASS,847,1100,77.0,A,,37
801704,PASS,754,1100,68.55,B,,37
801705,PASS,873,1100,79.36,A,,37
801706,PASS,818,1100,74.36,A,,37
801707,PASS,737,1100,67.0,B,,37
801708,PASS,650,1100,59.09,C,,37
801709,PASS,689,1100,62.64,B,,37
801710,PASS,704,1100,64.0,B,,37
801711,PASS,705,1100,64.09,B,,37
801712,PASS,803,1100,73.0,A,,37
801713,PASS,776,1100,70.55,A,,37
801714,PASS,824,1100,74.91,A,,37
801715,PASS,674,1100,61.27,B,,37
801716,PASS,770,1100,70.0,A,,37
801717,PASS,843,1100,76.64,A,,37
801718,PASS,596,1100,54.18,C,,37
801719,PASS,627,1100,57.0,C,,37
801720,PASS,827,1100,75.18,A,,37
801721,PASS,823,1100,74.82,A,,37
801722,PASS,815,1100,74.09,A,,37
801723,PASS,866,1100,78.73,A,,37
801724,PASS,906,1100,82.36,A-1,,37
801742,PASS,498,1100,45.27,D,,37
801745,PASS,806,1100,73.27,A,,37
801751,PASS,463,1100,42.09,D,,37
801758,PASS,576,1100,52.36,C,,37
801788,PASS,494,1100,44.91,D,,38
801791,PASS,502,1100,45.64,D,,38
801816,PASS,500,1100,45.45,D,,38
801818,PASS,453,1100,41.18,D,,38
801821,PASS,633,1100,57.55,C,,38
801822,PASS,484,1100,44.0,D,,38
801823,PASS,589,1100,53.55,C,,38
801825,PASS,545,1100,49.55,D,,38
